"input_number","input","target_number","target","name","description","namespace"
1,"Q0017","1.1","Q0017","Q0017","Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0010 [Source:SGD;Acc:S000007258]","ENSG,ENSP,SGD_GENE"
2,"Q0032","2.1","Q0032","Q0032","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007259]","ENSG,ENSP,SGD_GENE"
3,"Q0045","3.1","Q0045","COX1","Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits [Source:SGD;Acc:S000007260]","ENSG,ENSP"
4,"Q0060","4.1","Q0060","AI3","Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007263]","ENSG,ENSP"
5,"Q0085","5.1","Q0085","ATP6","Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia [Source:SGD;Acc:S000007268]","ENSG,ENSP"
6,"Q0092","6.1","Q0092","Q0092","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007269]","ENSG,ENSP,SGD_GENE"
7,"Q0105","7.1","Q0105","COB","Cytochrome b; mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p [Source:SGD;Acc:S000007270]","ENSG,ENSP"
8,"Q0110","8.1","Q0110","BI2","Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007271]","ENSG,ENSP"
9,"Q0115","9.1","Q0115","BI3","Mitochondrial mRNA maturase; forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007272]","ENSG,ENSP"
10,"Q0120","10.1","Q0120","BI4","Mitochondrial mRNA maturase; forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007273]","ENSG,ENSP"
