"input_number","input","target_number","target","name","description","namespace"
1,"FBgn0000015","1.1","A0A0B4KGT1","Abd-B","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
2,"FBgn0000018","2.1","Q8MR99","abo","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
3,"FBgn0000022","3.1","None","None","None",""
4,"FBgn0000028","4.1","B7Z0Y6","acj6","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
5,"FBgn0000054","5.1","None","None","None",""
6,"FBgn0000057","6.1","Q29QC9","adp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
7,"FBgn0000061","7.1","None","None","None",""
8,"FBgn0000097","8.1","M9PC88","aop","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
9,"FBgn0000099","9.1","None","None","None",""
10,"FBgn0000137","10.1","None","None","None",""
11,"FBgn0000139","11.1","A0A0B4K7H6","ash2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
12,"FBgn0000157","12.1","A2VEF7","Dll","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
13,"FBgn0000166","13.1","None","None","None",""
14,"FBgn0000179","14.1","A8E6Q4","bi","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
15,"FBgn0000181","15.1","Q7KM15","bic","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
16,"FBgn0000210","16.1","None","None","None",""
17,"FBgn0000212","17.1","M9PFM5","brm","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
18,"FBgn0000233","18.1","None","None","None",""
19,"FBgn0000242","19.1","None","None","None",""
20,"FBgn0000251","20.1","M9PDI3","cad","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
21,"FBgn0000256","21.1","B7Z010","capu","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
22,"FBgn0000283","22.1","None","None","None",""
23,"FBgn0000287","23.1","P91639","salr","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
24,"FBgn0000289","24.1","A0A0B4LF29","cg","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
25,"FBgn0000307","25.1","G2J5V4","chif","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
26,"FBgn0000370","26.1","M9PBF8","crc","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
27,"FBgn0000376","27.1","None","None","None",""
28,"FBgn0000411","28.1","M9PFL2","D","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
29,"FBgn0000413","29.1","None","None","None",""
30,"FBgn0000439","30.1","Q3KN38","Dfd","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
31,"FBgn0000448","31.1","A0A0B4KEJ3","Hr3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
32,"FBgn0000459","32.1","None","None","None",""
33,"FBgn0000492","33.1","None","None","None",""
34,"FBgn0000504","34.1","A0A0B4KFS4","dsx","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
35,"FBgn0000520","35.1","O76909","dwg","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
36,"FBgn0000529","36.1","None","None","None",""
37,"FBgn0000533","37.1","A0A0B4KGQ4","ea","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
38,"FBgn0000541","38.1","E1JHV6","E(bx)","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
39,"FBgn0000543","39.1","None","None","None",""
40,"FBgn0000546","40.1","A4UZ51","EcR","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
41,"FBgn0000560","41.1","H5V893","eg","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
42,"FBgn0000567","42.1","A0JQ60","Eip74EF","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
43,"FBgn0000568","43.1","A0A0S0WIG6","Eip75B","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
44,"FBgn0000575","44.1","None","None","None",""
45,"FBgn0000576","45.1","Q5BIB4","ems","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
46,"FBgn0000577","46.1","T2HRA9","en","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
47,"FBgn0000588","47.1","A0A0K0K259","esc","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
48,"FBgn0000591","48.1","None","None","None",""
49,"FBgn0000606","49.1","F9W320","eve","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
50,"FBgn0000611","50.1","M9PHV1","exd","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
51,"FBgn0000617","51.1","A8WHK8","e(y)1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
52,"FBgn0000618","52.1","A0A1B2AIW8","e(y)2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
53,"FBgn0000625","53.1","O77238","eyg","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
54,"FBgn0000629","54.1","M9PHZ5","E(z)","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
55,"FBgn0000659","55.1","A0A0B4KHC0","fkh","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
56,"FBgn0000810","56.1","None","None","None",""
57,"FBgn0000964","57.1","B5RJK5","tj","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
58,"FBgn0000996","58.1","Q7JVY2","dup","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
59,"FBgn0001075","59.1","Q95RM5","ft","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
60,"FBgn0001077","60.1","None","None","None",""
61,"FBgn0001078","61.1","A0A0S0WH29","ftz-f1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
62,"FBgn0001133","62.1","A8E6V8","grau","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
63,"FBgn0001138","63.1","A0A0B4KFB6","grn","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
64,"FBgn0001139","64.1","A0A0B4JD02","gro","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
65,"FBgn0001147","65.1","None","None","None",""
66,"FBgn0001148","66.1","B6IDY6","gsb","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
67,"FBgn0001150","67.1","None","None","None",""
68,"FBgn0001168","68.1","None","None","None",""
69,"FBgn0001170","69.1","None","None","None",""
70,"FBgn0001179","70.1","B7Z0G1","hay","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
71,"FBgn0001180","71.1","G3E737","hb","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
72,"FBgn0001185","72.1","O61373","her","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
73,"FBgn0001197","73.1","A0A0B4KH25","His2Av","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
74,"FBgn0001206","74.1","A9YKT6","Hmr","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
75,"FBgn0001222","75.1","Q4H2F7","Hsf","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
76,"FBgn0001235","76.1","J7HAH8","hth","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
77,"FBgn0001269","77.1","None","None","None",""
78,"FBgn0001291","78.1","A0A0B4KEI6","Jra","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
79,"FBgn0001297","79.1","A0A0B4LHU8","kay","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
80,"FBgn0001319","80.1","A0A0B4KFQ1","kn","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
81,"FBgn0001320","81.1","X2JGX8","kni","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
82,"FBgn0001323","82.1","A0A0S0WNG8","knrl","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
83,"FBgn0001324","83.1","C0PUX8","kto","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
84,"FBgn0001325","84.1","B5RIE4","Kr","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
85,"FBgn0001330","85.1","Q6NR37","kz","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
86,"FBgn0001491","86.1","O97454","l(1)10Bb","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
87,"FBgn0001965","87.1","W8NR02","Sos","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
88,"FBgn0001978","88.1","E8NH79","stc","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
89,"FBgn0001981","89.1","H9ZJM4","esg","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
90,"FBgn0001983","90.1","Q8SXL3","wor","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
91,"FBgn0001990","91.1","M9PFY1","wek","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
92,"FBgn0001994","92.1","Q86PC0","crp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
93,"FBgn0002023","93.1","M9NCY1","Lim3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
94,"FBgn0002183","94.1","Q1WWE1","dre4","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
95,"FBgn0002441","95.1","O76931","l(3)mbt","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
96,"FBgn0002521","96.1","None","None","None",""
97,"FBgn0002522","97.1","A0A0B4K629","lab","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
98,"FBgn0002542","98.1","A0A0C5K8A0","lds","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
99,"FBgn0002561","99.1","None","None","None",""
