"input_number","input","target_number","target","name","description","namespace"
1,"FBgn0040736","1.1","A0A0B4LGW9","IM3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
2,"FBgn0034454","2.1","A1ZBM4","CG15120","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
3,"FBgn0052075","3.1","Q8SZY9","CG32075","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
4,"FBgn0038966","4.1","Q29QS4","pinta","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
5,"FBgn0000606","5.1","F9W320","eve","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
6,"FBgn0025807","6.1","A8JNV5","Rad9","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
7,"FBgn0041236","7.1","None","None","None",""
8,"FBgn0034553","8.1","C5WLU6","CG9993","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
9,"FBgn0011283","9.1","None","None","None",""
10,"FBgn0030330","10.1","Q7K187","Tango10","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
11,"FBgn0030073","11.1","Q8IRN0","CG10962","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
12,"FBgn0020622","12.1","M9PAY7","Pi3K21B","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
13,"FBgn0030872","13.1","Q9VX14","Ucp4A","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
14,"FBgn0034789","14.1","A0A0B4K7E3","PIP5K59B","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
15,"FBgn0035786","15.1","M9PEE6","Tsp66A","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
16,"FBgn0030540","16.1","E0R952","CG11581","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
17,"FBgn0259701","17.1","B9A0M4","CG42355","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
18,"FBgn0037227","18.1","Q9VMZ8","TwdlV","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
19,"FBgn0003861","19.1","A0A0B4KHH9","trp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
